Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
HARRIS, BRISK, 1, 12.4857, 10.9082, 1.57752
HARRIS, BRISK, 2, 12.7245, nan, nan
HARRIS, BRISK, 3, 19.866, -80.8525, 100.719
HARRIS, BRISK, 4, 14.0501, 11.5792, 2.47084
HARRIS, BRISK, 5, 12.5319, -inf, inf
HARRIS, BRISK, 6, 13.8845, 11.8034, 2.08102
HARRIS, BRISK, 7, 13.4805, 13.1905, 0.289993
HARRIS, BRISK, 8, 14.0734, 13.5704, 0.503022
HARRIS, BRISK, 9, 13.0205, nan, nan
HARRIS, BRISK, 10, 11.9077, -inf, inf
HARRIS, BRISK, 11, 11.2423, 23.3405, -12.0981
HARRIS, BRISK, 12, 9.69089, 5.33701, 4.35387
HARRIS, BRISK, 13, 9.61285, -inf, inf
HARRIS, BRISK, 14, 9.1458, 7.61972, 1.52608
HARRIS, BRISK, 15, 8.38699, -12.3391, 20.7261
HARRIS, BRISK, 16, 8.96962, 6.33028, 2.63934
HARRIS, BRISK, 17, 10.9895, nan, nan
HARRIS, BRISK, 18, 8.49633, nan, nan
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
HARRIS, ORB, 1, 12.4857, 10.9082, 1.57752
HARRIS, ORB, 2, 12.7245, 80.7525, -68.0281
HARRIS, ORB, 3, 19.866, -57.2502, 77.1163
HARRIS, ORB, 4, 14.0501, 12.4858, 1.56428
HARRIS, ORB, 5, 12.5319, -inf, inf
HARRIS, ORB, 6, 13.8845, 11.8525, 2.03191
HARRIS, ORB, 7, 13.4805, 14.2744, -0.793927
HARRIS, ORB, 8, 14.0734, 12.9162, 1.15723
HARRIS, ORB, 9, 13.0205, nan, nan
HARRIS, ORB, 10, 11.9077, 20.5862, -8.67849
HARRIS, ORB, 11, 11.2423, 23.3405, -12.0981
HARRIS, ORB, 12, 9.69089, 7.20938, 2.48151
HARRIS, ORB, 13, 9.61285, 20.5902, -10.9773
HARRIS, ORB, 14, 9.1458, 6.06984, 3.07596
HARRIS, ORB, 15, 8.38699, -14.7808, 23.1678
HARRIS, ORB, 16, 8.96962, 6.65973, 2.30989
HARRIS, ORB, 17, 10.9895, nan, nan
HARRIS, ORB, 18, 8.49633, nan, nan
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
HARRIS, BRIEF, 1, 12.4857, 10.9082, 1.57752
HARRIS, BRIEF, 2, 12.7245, nan, nan
HARRIS, BRIEF, 3, 19.866, -44.3142, 64.1802
HARRIS, BRIEF, 4, 14.0501, 11.5792, 2.47084
HARRIS, BRIEF, 5, 12.5319, -inf, inf
HARRIS, BRIEF, 6, 13.8845, 11.8525, 2.03191
HARRIS, BRIEF, 7, 13.4805, 15.3797, -1.89919
HARRIS, BRIEF, 8, 14.0734, 12.3725, 1.70089
HARRIS, BRIEF, 9, 13.0205, 3.90277, 9.11776
HARRIS, BRIEF, 10, 11.9077, -13.4405, 25.3483
HARRIS, BRIEF, 11, 11.2423, 23.3405, -12.0981
HARRIS, BRIEF, 12, 9.69089, 7.20938, 2.48151
HARRIS, BRIEF, 13, 9.61285, -inf, inf
HARRIS, BRIEF, 14, 9.1458, 13.1575, -4.01167
HARRIS, BRIEF, 15, 8.38699, -14.7808, 23.1678
HARRIS, BRIEF, 16, 8.96962, 6.11927, 2.85036
HARRIS, BRIEF, 17, 10.9895, nan, nan
HARRIS, BRIEF, 18, 8.49633, nan, nan
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
HARRIS, SIFT, 1, 12.4857, 10.9082, 1.57752
HARRIS, SIFT, 2, 12.7245, 80.7525, -68.0281
HARRIS, SIFT, 3, 19.866, -inf, inf
HARRIS, SIFT, 4, 14.0501, 12.1284, 1.92167
HARRIS, SIFT, 5, 12.5319, -inf, inf
HARRIS, SIFT, 6, 13.8845, 15.9967, -2.11221
HARRIS, SIFT, 7, 13.4805, 14.4636, -0.983129
HARRIS, SIFT, 8, 14.0734, 12.9162, 1.15723
HARRIS, SIFT, 9, 13.0205, 3.90277, 9.11776
HARRIS, SIFT, 10, 11.9077, 20.5862, -8.67849
HARRIS, SIFT, 11, 11.2423, -inf, inf
HARRIS, SIFT, 12, 9.69089, nan, nan
HARRIS, SIFT, 13, 9.61285, 20.5902, -10.9773
HARRIS, SIFT, 14, 9.1458, 5.55228, 3.59352
HARRIS, SIFT, 15, 8.38699, -14.7808, 23.1678
HARRIS, SIFT, 16, 8.96962, 10.6503, -1.68073
HARRIS, SIFT, 17, 10.9895, nan, nan
HARRIS, SIFT, 18, 8.49633, nan, nan
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
SHITOMASI, BRISK, 1, 12.4857, 12.9721, -0.486369
SHITOMASI, BRISK, 2, 12.7245, 12.647, 0.0774838
SHITOMASI, BRISK, 3, 19.866, 11.0972, 8.76889
SHITOMASI, BRISK, 4, 14.0501, 13.0129, 1.03712
SHITOMASI, BRISK, 5, 12.5319, 12.8037, -0.271715
SHITOMASI, BRISK, 6, 13.8845, 12.6667, 1.21779
SHITOMASI, BRISK, 7, 13.4805, 13.8434, -0.362894
SHITOMASI, BRISK, 8, 14.0734, 12.565, 1.50847
SHITOMASI, BRISK, 9, 13.0205, 11.6472, 1.3733
SHITOMASI, BRISK, 10, 11.9077, 12.5741, -0.666355
SHITOMASI, BRISK, 11, 11.2423, 11.8423, -0.599943
SHITOMASI, BRISK, 12, 9.69089, 11.2543, -1.56344
SHITOMASI, BRISK, 13, 9.61285, 12.2022, -2.58937
SHITOMASI, BRISK, 14, 9.1458, 10.0632, -0.917449
SHITOMASI, BRISK, 15, 8.38699, 9.10272, -0.715727
SHITOMASI, BRISK, 16, 8.96962, 10.5164, -1.54681
SHITOMASI, BRISK, 17, 10.9895, 10.062, 0.927497
SHITOMASI, BRISK, 18, 8.49633, 7.3793, 1.11703
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
SHITOMASI, ORB, 1, 12.4857, 12.5213, -0.0355579
SHITOMASI, ORB, 2, 12.7245, 13.0277, -0.30325
SHITOMASI, ORB, 3, 19.866, 10.9688, 8.8972
SHITOMASI, ORB, 4, 14.0501, 12.5354, 1.5147
SHITOMASI, ORB, 5, 12.5319, 12.9126, -0.380673
SHITOMASI, ORB, 6, 13.8845, 12.4249, 1.45954
SHITOMASI, ORB, 7, 13.4805, 13.0932, 0.387236
SHITOMASI, ORB, 8, 14.0734, 12.0553, 2.01809
SHITOMASI, ORB, 9, 13.0205, 11.9739, 1.04667
SHITOMASI, ORB, 10, 11.9077, 13.1451, -1.23737
SHITOMASI, ORB, 11, 11.2423, 11.2643, -0.0219577
SHITOMASI, ORB, 12, 9.69089, 10.943, -1.25215
SHITOMASI, ORB, 13, 9.61285, 12.1365, -2.52364
SHITOMASI, ORB, 14, 9.1458, 10.5155, -1.36969
SHITOMASI, ORB, 15, 8.38699, 10.2547, -1.86774
SHITOMASI, ORB, 16, 8.96962, 8.82723, 0.142389
SHITOMASI, ORB, 17, 10.9895, 8.08158, 2.90793
SHITOMASI, ORB, 18, 8.49633, 7.91705, 0.579285
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
SHITOMASI, BRIEF, 1, 12.4857, 13.3964, -0.910674
SHITOMASI, BRIEF, 2, 12.7245, 13.9717, -1.24723
SHITOMASI, BRIEF, 3, 19.866, 11.2663, 8.59977
SHITOMASI, BRIEF, 4, 14.0501, 13.0387, 1.01141
SHITOMASI, BRIEF, 5, 12.5319, 12.485, 0.0469183
SHITOMASI, BRIEF, 6, 13.8845, 13.2378, 0.646625
SHITOMASI, BRIEF, 7, 13.4805, 13.8636, -0.383164
SHITOMASI, BRIEF, 8, 14.0734, 11.8398, 2.23369
SHITOMASI, BRIEF, 9, 13.0205, 11.191, 1.82954
SHITOMASI, BRIEF, 10, 11.9077, 12.6239, -0.716165
SHITOMASI, BRIEF, 11, 11.2423, 11.4202, -0.177806
SHITOMASI, BRIEF, 12, 9.69089, 10.9202, -1.22933
SHITOMASI, BRIEF, 13, 9.61285, 11.7506, -2.1378
SHITOMASI, BRIEF, 14, 9.1458, 10.5962, -1.45041
SHITOMASI, BRIEF, 15, 8.38699, 11.9156, -3.52857
SHITOMASI, BRIEF, 16, 8.96962, 11.3227, -2.35305
SHITOMASI, BRIEF, 17, 10.9895, 8.3061, 2.68342
SHITOMASI, BRIEF, 18, 8.49633, 7.04501, 1.45132
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
SHITOMASI, SIFT, 1, 12.4857, 13.0534, -0.567666
SHITOMASI, SIFT, 2, 12.7245, 12.9235, -0.199085
SHITOMASI, SIFT, 3, 19.866, 11.4126, 8.45342
SHITOMASI, SIFT, 4, 14.0501, 12.8932, 1.15689
SHITOMASI, SIFT, 5, 12.5319, 12.7244, -0.192429
SHITOMASI, SIFT, 6, 13.8845, 12.2255, 1.65893
SHITOMASI, SIFT, 7, 13.4805, 12.9069, 0.573525
SHITOMASI, SIFT, 8, 14.0734, 12.0133, 2.06016
SHITOMASI, SIFT, 9, 13.0205, 11.6421, 1.37847
SHITOMASI, SIFT, 10, 11.9077, 13.0536, -1.14585
SHITOMASI, SIFT, 11, 11.2423, 11.5997, -0.357359
SHITOMASI, SIFT, 12, 9.69089, 11.1784, -1.48756
SHITOMASI, SIFT, 13, 9.61285, 12.2277, -2.61486
SHITOMASI, SIFT, 14, 9.1458, 10.2682, -1.1224
SHITOMASI, SIFT, 15, 8.38699, 11.0172, -2.63021
SHITOMASI, SIFT, 16, 8.96962, 10.2725, -1.30291
SHITOMASI, SIFT, 17, 10.9895, 8.11149, 2.87803
SHITOMASI, SIFT, 18, 8.49633, 7.85622, 0.640113
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
FAST, BRISK, 1, 12.4857, 13.0417, -0.55598
FAST, BRISK, 2, 12.7245, 12.3176, 0.406902
FAST, BRISK, 3, 19.866, 12.0092, 7.85685
FAST, BRISK, 4, 14.0501, 12.1055, 1.9446
FAST, BRISK, 5, 12.5319, 11.0235, 1.50845
FAST, BRISK, 6, 13.8845, 12.0013, 1.88319
FAST, BRISK, 7, 13.4805, 12.5425, 0.93799
FAST, BRISK, 8, 14.0734, 11.8, 2.27344
FAST, BRISK, 9, 13.0205, 11.9427, 1.07784
FAST, BRISK, 10, 11.9077, 11.1928, 0.714935
